date,decision_id,rm_recommendation,rm_buy_probability,downside_probability,predicted_tail_downside,rm_risk_score,trade_executed,net_return,decision_summary,outcome_summary,reflection_category,explainability_score
2025-05-16,decision_fe2e5a19301d4bc4b492ccea3aca6425,REJECT,0.23259798331827236,0.24694367268314957,0.022451349836223697,0.41141019825106123,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.708825%.,NO_TRADE_REVIEW,0.8798598476597799
2025-05-19,decision_246301997068495996fdc93e4e0341a1,REJECT,0.26506265932266737,0.29332954638718006,0.021010692351438934,0.4223498904023156,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 2.135448%.,NO_TRADE_REVIEW,0.9777490607787501
2025-05-20,decision_6934de2a97034bf2a7d8c89c07c8a934,REJECT,0.24620794746398939,0.520429760942319,0.022355801101045528,0.5743815341247529,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.373514%.,NO_TRADE_REVIEW,0.8766700123131275
2025-05-21,decision_36290494a0c84efb9e44cb9a0d96e965,REJECT,0.2410831781957241,0.2692766841356732,0.022253582330257857,0.42249116422167443,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.342912%.,NO_TRADE_REVIEW,0.8778711301103772
2025-05-22,decision_e518cf3961424cdda7c71098fde55dfd,REJECT,0.23097057877238839,0.22205481640110858,0.024838634643580014,0.42446800277178076,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 0.753693%.,NO_TRADE_REVIEW,0.9697587293997785
2025-05-23,decision_5ddf0359c7b848f39ac39bd4027df605,REJECT,0.33231422534156135,0.5078669583822886,0.023546543101277954,0.5808054042555508,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 0.950272%.,NO_TRADE_REVIEW,0.9935111465644284
2025-05-27,decision_ec36ad964a674ca997151cbac5b3cc00,REJECT,0.25091351188051575,0.5550748040699199,0.025900699608206366,0.6367327978057119,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 1.342005%.,NO_TRADE_REVIEW,0.9744328543469959
2025-05-28,decision_9d14657ca9504a569eacda79ef68af83,REJECT,0.3095721196968626,0.23279971748482803,0.021270186712856378,0.3890745866147304,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.682445%.,NO_TRADE_REVIEW,0.8618190344460478
2025-05-29,decision_e3dd680d59b3440e884bc87c33ca5146,REJECT,0.3037896497653427,0.17219793450867207,0.02076341212601344,0.3467715415092312,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -1.219459%.,NO_TRADE_REVIEW,0.8631743008362478
2025-05-30,decision_d03bd463899b4adfa662ab0dac25e24e,REJECT,0.3126038611925188,0.426294841135295,0.024517671764490625,0.5432487004380753,False,0.0,EX did not execute a trade under CONFIG_3_RM_EX_RF. The resolved analytical decision was NO_TRADE using RM_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: RM direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.017038%.,NO_TRADE_REVIEW,0.8611084700330034
