title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Amazon and Microsoft led the world in corporate purchases of clean energy in 2021,https://www.geekwire.com/2022/amazon-and-microsoft-led-the-world-in-corporate-purchases-of-clean-energy-in-2021/,20220201T140400,['Lisa Stiffler'],"Amazon and Microsoft were global leaders in corporate clean energy power purchase agreements in 2021, with Amazon holding the top spot for the second consecutive year. Combined, the two tech giants procured 12.4 GW of wind and solar power, contributing significantly to a record-setting year for corporate carbon-free energy deals. Both companies are committed to achieving 100% renewable energy for their operations by 2025, with Microsoft aiming for 24/7 clean energy by 2030.",,GeekWire,General,GeekWire,"[{'topic': 'energy_transportation', 'relevance_score': '0.943093'}, {'topic': 'technology', 'relevance_score': '0.819224'}]",0.378548,Bullish,"[{'ticker': 'MSFT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.427067', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.966067', 'ticker_sentiment_score': '0.458535', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'META', 'relevance_score': '0.631934', 'ticker_sentiment_score': '0.323140', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.621760', 'ticker_sentiment_score': '0.342580', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Televisa y Univision se fusionan para lanzar nueva empresa de streaming y competir con Netflix,https://emprendedor.com/televisa-univision-fusion-streaming-nueva-empresa-televisaunivision/,20220201T155237,['Equipo Editorial'],"Televisa and Univision have merged to create TelevisaUnivision, Inc., a new streaming company aimed at becoming the dominant Spanish-language content producer globally. This new venture seeks to compete with major streaming platforms like Netflix and Amazon Prime Video by targeting the ""underserved"" Hispanic digital market. The new company, with Televisa as the majority shareholder, will offer a vast catalog of content from both media giants, including a free and premium subscription model, expected to launch in 2022.",https://emprendedor.com/wp-content/uploads/2022/02/televisa-univision-fusion-streaming-nueva-empresa-televisaunivision.jpg,Emprendedor | El medio líder de Emprendimiento y Negocios,General,Emprendedor | El medio líder de Emprendimiento y Negocios,"[{'topic': 'mergers_and_acquisitions', 'relevance_score': '0.941270'}, {'topic': 'technology', 'relevance_score': '0.801911'}]",0.221124,Somewhat-Bullish,"[{'ticker': 'TV', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.449327', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NFLX', 'relevance_score': '0.835911', 'ticker_sentiment_score': '0.108029', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.645315', 'ticker_sentiment_score': '0.100372', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.644724', 'ticker_sentiment_score': '0.108026', 'ticker_sentiment_label': 'Neutral'}]"
"At Clean Energy Summit, EVs and SCE Take Center Stage",https://energized.edison.com/stories/at-clean-energy-summit-evs-and-sce-take-center-stage,20220201T163632,['Casey Wian'],"At the Bloomberg NEF Summit, Edison International outlined ambitious efforts to accelerate transportation electrification, particularly focusing on electric vehicles (EVs) and their supporting infrastructure. Southern California Edison (SCE) is investing nearly $800 million in programs like Charge Ready to deploy EV chargers and offers rebates for pre-owned EVs, with a significant emphasis on deploying infrastructure in underserved communities. Leaders from the industry, including those from ABB and EVgo, concur that EV adoption, especially by fleet customers, is growing rapidly and requires substantial grid investments to meet future power demands.",,Energized by Edison,General,Energized by Edison,"[{'topic': 'energy_transportation', 'relevance_score': '0.906682'}, {'topic': 'economy_macro', 'relevance_score': '0.634253'}]",0.348337,Somewhat-Bullish,"[{'ticker': 'EIX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.426804', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GM', 'relevance_score': '0.632661', 'ticker_sentiment_score': '0.318659', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.596140', 'ticker_sentiment_score': '0.296297', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'UPS', 'relevance_score': '0.565162', 'ticker_sentiment_score': '0.283015', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Income Is The Outcome,https://www.fa-mag.com/news/income-is-the-outcome-66040.html?print,20220201T171632,['Jeff Schlegel'],"The article discusses the JPMorgan Equity Premium Income Fund, an income-oriented fund that uses equity-linked notes (ELNs) and options premiums to generate substantial income for investors. Despite underperforming market benchmarks in total return, its strategy prioritizes income generation and aims to reduce volatility, allowing investors to stay invested in equities in a more defensive manner. The fund's co-portfolio manager, Hamilton Reiner, explains how the use of ELNs converts options premiums into bona fide income and how market volatility influences the income generated.",,FA Mag,General,FA Mag,"[{'topic': 'financial_markets', 'relevance_score': '0.916131'}, {'topic': 'finance', 'relevance_score': '0.825661'}]",0.18258,Somewhat-Bullish,"[{'ticker': 'JEPI', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.267444', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JPM', 'relevance_score': '0.872397', 'ticker_sentiment_score': '0.249067', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.636580', 'ticker_sentiment_score': '0.110859', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ORLY', 'relevance_score': '0.605847', 'ticker_sentiment_score': '0.131198', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.610965', 'ticker_sentiment_score': '0.129694', 'ticker_sentiment_label': 'Neutral'}]"
"Robots marched on in 2021, with record orders by North American firms",https://www.reuters.com/technology/robots-marched-2021-with-record-orders-by-north-american-firms-2022-02-02/,20220202T111000,['Timothy Aeppel'],"In 2021, North American companies invested over $2 billion in nearly 40,000 robots, setting a new record for robot orders. The deployment of robots expanded beyond the automotive sector into various industries, including metals, food, consumer goods, and e-commerce, driven by labor shortages and increased demand. A new breed of ""cobots"" is also emerging, designed to work collaboratively with humans on assembly lines, addressing the need for automation in industries previously resistant to it.",https://www.reuters.com/resizer/v2/BIWTVYQVPRJ7HH2MRPU7MW7B6M.jpg?auth=0be4eeebe42536a9c98e6133bf8e7f2f38c7183360f000b5d5c69e8c6491be7a&width=1080&quality=80,Reuters,General,Reuters,"[{'topic': 'manufacturing', 'relevance_score': '0.940709'}, {'topic': 'technology', 'relevance_score': '0.830966'}, {'topic': 'economy_macro', 'relevance_score': '0.722351'}]",0.347619,Somewhat-Bullish,"[{'ticker': 'TER', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.487020', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.619940', 'ticker_sentiment_score': '0.338890', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.590488', 'ticker_sentiment_score': '0.299727', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Amazon discloses stake in self-driving technology company Aurora,https://www.bizjournals.com/seattle/inno/stories/news/2022/02/02/amazon-aurora-innovation-disclose-stake.html,20220202T141802,['Alex Halverson'],"Amazon has acquired a 5% stake in Aurora Innovations Inc., a self-driving technology company based in Pittsburgh. This investment expands Amazon's portfolio in autonomous vehicle technology and signals its interest in alternative solutions for its growing delivery fleet. This move follows Amazon's prior investments in electric vehicle companies, further diversifying its transportation strategy.",https://media.bizj.us/view/img/11689051/aurora-pit*900xx6000-3375-0-313.jpg,The Business Journals,General,The Business Journals,"[{'topic': 'mergers_and_acquisitions', 'relevance_score': '0.839977'}, {'topic': 'technology', 'relevance_score': '0.734035'}, {'topic': 'retail_wholesale', 'relevance_score': '0.604869'}, {'topic': 'energy_transportation', 'relevance_score': '0.618213'}]",0.177795,Somewhat-Bullish,"[{'ticker': 'AUR', 'relevance_score': '0.344031', 'ticker_sentiment_score': '0.028760', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.326767', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
WD_Black SN770 Gen 4 SSD Review – Don’t Let Its Good Looks Fool You.,https://www.thessdreview.com/our-reviews/nvme/wd_black-sn770-gen-4-ssd-review-dont-let-its-good-looks-fool-you/,20220202T150208,['Les Tokar'],"This review introduces the WD_Black SN770, a new PCIe 4.0 x4 NVMe SSD designed for gaming, available in capacities up to 2TB. Despite being a DRAM-less and single-sided design, it achieves impressive read/write speeds of up to 5GB/s and features a Host Memory Buffer (HMB) to utilize system DRAM. The SN770 targets value and performance for modern users, potentially surpassing more expensive gaming SSDs.",https://www.thessdreview.com/wp-content/uploads/2022/01/WD_Black-SN770-Gen4-1TB-NVMe-SSD-3-1024x576.jpg,The SSD Review,General,The SSD Review,"[{'topic': 'technology', 'relevance_score': '0.917666'}]",0.215536,Somewhat-Bullish,"[{'ticker': 'WDCVV', 'relevance_score': '0.310865', 'ticker_sentiment_score': '0.016072', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WDC', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.467041', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.611777', 'ticker_sentiment_score': '0.110239', 'ticker_sentiment_label': 'Neutral'}]"
The Warm Florida Sun Is Not Helping Dan Loeb,https://dealbreaker.com/2022/02/third-point-january-2022,20220202T163136,['Jon Shazar'],"Dan Loeb's Third Point hedge funds experienced significant losses in January, with the Offshore fund declining 7.6% and the Ultra fund slumping 10%, erasing a portion of their previous year's gains. These losses are partly attributed to the poor performance of some top holdings like SentinelOne Inc, Danaher Corp., and Amazon.com Inc. Despite the setback, Third Point and other activist hedge funds, including Elliott Management and Trian Fund Management, are actively engaging in campaigns in the U.K. market, which is seen as ripe for activism due to its size and relatively cheap valuations.",,Dealbreaker,General,Dealbreaker,"[{'topic': 'earnings', 'relevance_score': '0.931639'}, {'topic': 'financial_markets', 'relevance_score': '0.818625'}, {'topic': 'finance', 'relevance_score': '0.720706'}, {'topic': 'life_sciences', 'relevance_score': '0.644154'}]",-0.293025,Somewhat-Bearish,"[{'ticker': 'DHR', 'relevance_score': '0.626891', 'ticker_sentiment_score': '-0.301237', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.617123', 'ticker_sentiment_score': '-0.222943', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Alphabet brings big stock splits back to market,https://www.aljazeera.com/economy/2022/2/2/alphabet-brings-big-stock-splits-back-to-market,20220202T165547,['Jeran Wittenstein and Vivianne Rodrigues and Bloomberg'],"Alphabet Inc. announced a 20-for-1 stock split, aiming to make its shares more accessible to small investors by reducing the per-share price. This move is also seen as a step towards potential inclusion in the Dow Jones Industrial Average, which has historically been a barrier due to Alphabet's high stock price. The announcement led to a 10% jump in shares during premarket trading.",,Al Jazeera,General,Al Jazeera,"[{'topic': 'financial_markets', 'relevance_score': '1.000000'}, {'topic': 'earnings', 'relevance_score': '0.910203'}]",0.266136,Somewhat-Bullish,"[{'ticker': 'GOOGL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.416110', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.925363', 'ticker_sentiment_score': '0.400223', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.747962', 'ticker_sentiment_score': '0.307379', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.617410', 'ticker_sentiment_score': '0.103572', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.647616', 'ticker_sentiment_score': '0.147433', 'ticker_sentiment_label': 'Neutral'}]"
Document,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000002/amzn-20211231xex991.htm,20220203T141647,[],"Amazon.com, Inc. announced its financial results for the fourth quarter and full year ended December 31, 2021, showing increased net sales but decreased operating cash flow due to higher costs. The company reported a significant net income increase in Q4 2021, boosted by a valuation gain from its investment in Rivian Automotive. Amazon also highlighted continued investments in Prime benefits, expansion of AWS services, and initiatives in environmental protection and community support.",https://www.sec.gov/akam/13/pixel_3bc11fe3?a=dD1lNTM0YWJlZWJmN2M5NjUwNzE2NjJiMmQwZjIxNTViMWJhOGY3NGYyJmpzPW9mZg==,SEC.gov,General,SEC.gov,"[{'topic': 'earnings', 'relevance_score': '0.907061'}, {'topic': 'retail_wholesale', 'relevance_score': '0.834109'}, {'topic': 'technology', 'relevance_score': '0.743598'}, {'topic': 'economy_macro', 'relevance_score': '0.602971'}, {'topic': 'finance', 'relevance_score': '0.637291'}]",0.188072,Somewhat-Bullish,"[{'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.293421', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SBUX', 'relevance_score': '0.623312', 'ticker_sentiment_score': '0.114725', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NDAQ', 'relevance_score': '0.610000', 'ticker_sentiment_score': '0.183529', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.618014', 'ticker_sentiment_score': '0.120066', 'ticker_sentiment_label': 'Neutral'}]"
