title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Netflix’s Latest Move Is a Huge Win for Travelers,https://time.com/4169808/netflix-new-countries-2016/,20160106T141500,['Lisa Eadicicco'],"Netflix announced a major expansion, launching in 130 new countries and bringing its total availability to 190 countries globally. This move, dubbed ""the birth of a global Internet TV network"" by CEO Reed Hastings, makes Netflix accessible in most parts of the world, excluding China, Crimea, North Korea, and Syria. The company also plans to release two dozen original films and documentaries, new kids' series, and stand-up comedy specials in 2016.",,Time Magazine,General,Time Magazine,"[{'topic': 'technology', 'relevance_score': '0.905245'}]",0.217812,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.423052', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.625837', 'ticker_sentiment_score': '0.137183', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.611808', 'ticker_sentiment_score': '0.116988', 'ticker_sentiment_label': 'Neutral'}]"
"Netflix expands into 130 more countries, including Malta, in surprise move",http://www.independent.com.mt/articles/2016-01-07/local-news/Netflix-expands-into-130-more-countries-including-Malta-in-surprise-move-6736151369,20160107T094400,['Associated Press'],"Netflix has unexpectedly expanded its service to 130 additional countries, including Malta, bringing its total reach to 190 countries. This move, announced by CEO Reed Hastings at CES, significantly accelerates Netflix's global expansion plans, though it still faces challenges in entering China and certain other markets due to restrictions or language barriers. The expansion delighted investors, with Netflix's stock climbing, as it positions the company to attract millions of new subscribers and further invest in its growing library of original programming, while a local provider, Melita, welcomes the service to Malta.",,The Malta Independent Online,General,The Malta Independent Online,"[{'topic': 'technology', 'relevance_score': '0.926576'}]",0.246626,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.462247', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.602660', 'ticker_sentiment_score': '0.132223', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.639317', 'ticker_sentiment_score': '0.143124', 'ticker_sentiment_label': 'Neutral'}]"
"Microsoft Surface Pro 4 finally arrives in India at a starting price of Rs 89,990",https://indianexpress.com/article/technology/gadgets/microsoft-surface-pro-4-windows-10-hybrid-launched-in-india-at-a-starting-price-of-rs-89990/,20160108T104400,['Debashis Sarkar'],"Microsoft has officially launched the Surface Pro 4 and the older Surface Pro 3 in India, with the Surface Pro 4 starting at Rs 89,990. The devices are available for pre-order exclusively through Amazon.in, with deliveries commencing from January 14. Microsoft has also established experience centers in major Indian cities for product demonstrations.",,The Indian Express,General,The Indian Express,"[{'topic': 'technology', 'relevance_score': '0.930849'}]",0.233143,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.994995', 'ticker_sentiment_score': '0.327749', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.657147', 'ticker_sentiment_score': '0.128015', 'ticker_sentiment_label': 'Neutral'}]"
Gates and Bezos partner with Sloan Kettering for controversial cancer treatment,https://www.bizjournals.com/newyork/news/2016/01/11/gates-bezos-sloan-kettering-grail-cancer.html,20160111T063727,['Anthony Noto'],"Bill Gates and Jeff Bezos are partnering with Sloan Kettering to back Grail, a startup focused on detecting cancer. This collaboration comes at a time when technologies like liquid biopsies and gene-sequencing are becoming more affordable and viable for screening at-risk patients. The initiative aims to advance cancer detection methods.",,The Business Journals,General,The Business Journals,"[{'topic': 'life_sciences', 'relevance_score': '0.947744'}, {'topic': 'technology', 'relevance_score': '0.817080'}]",0.32656,Somewhat-Bullish,"[{'ticker': 'GRAL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.429270', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.630852', 'ticker_sentiment_score': '0.275165', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.645374', 'ticker_sentiment_score': '0.283317', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Netflix revolution hits Malta,https://www.independent.com.mt/articles/2016-01-11/newspaper-lifestyleculture/Netflix-revolution-hits-Malta-6736151574,20160111T154500,[],"Netflix expanded into 130 new countries, including Malta, marking a significant global push. CEO Reed Hastings announced this ""birth of a global TV network"" at CES, surprising many investors and generating an increase in Netflix's stock price. Maltese TV provider Melita welcomed Netflix's entry, viewing it as a positive development for customer choice and an incentive for users to upgrade internet packages for optimal streaming.",,The Malta Independent Online,General,The Malta Independent Online,"[{'topic': 'technology', 'relevance_score': '1.000000'}, {'topic': 'earnings', 'relevance_score': '0.835349'}, {'topic': 'financial_markets', 'relevance_score': '0.706738'}]",0.364957,Bullish,"[{'ticker': 'NFLX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.453866', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.624664', 'ticker_sentiment_score': '0.290612', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Jeff Bezos and Bill Gates bet on blood tests for cancer,https://www.marketwatch.com/story/jeff-bezos-and-bill-gates-bet-on-blood-tests-for-cancer-2016-01-11?gaa_at=eafs&gaa_n=AWEtsqfvybppB-VuRQJ4yZ6WQk3tfvqLUTnQuSF117G5Lh9W4aP0yZScGxxC&gaa_ts=690850b9&gaa_sig=g9PCGRoc4CvBb681xOP5KaYqykDtN2vsJkfrSos11sB0zQ4dNz0ZRZLflnk-3spj9KcpKNB5rVQvywWAFYjUiQ%3D%3D,20160112T135800,[],"Jeff Bezos and Bill Gates have invested in Grail, a startup spun out of Illumina Inc., which aims to detect multiple cancers early through a single blood test. The company announced over $100 million in Series A funding led by Illumina and ARCH Venture Partners, with participation from Bezos Expeditions, Microsoft cofounder Gates, and Sutter Hill Ventures. This venture seeks to revolutionize cancer detection, despite potential profitability challenges.",,MarketWatch,General,MarketWatch,"[{'topic': 'life_sciences', 'relevance_score': '0.904448'}, {'topic': 'technology', 'relevance_score': '0.835311'}]",0.341558,Somewhat-Bullish,"[{'ticker': 'GRAL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.432326', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.741015', 'ticker_sentiment_score': '0.277512', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.686042', 'ticker_sentiment_score': '0.252973', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
G.E. Is Moving Headquarters to Boston and Itself Into the Digital Era,https://www.nytimes.com/2016/01/14/technology/ge-boston-headquarters.html,20160113T063652,['Steve Lohr'],"General Electric announced it is moving its global headquarters from Fairfield, Connecticut, to Boston, Massachusetts. This move signifies G.E.'s strategic transformation into a digital industrial company, aiming to embed itself within a thriving technology and academic ecosystem. The relocation underscores the broader trend of old-line companies re-evaluating their strategies to adapt to the digital era.",,The New York Times,General,The New York Times,"[{'topic': 'manufacturing', 'relevance_score': '0.906747'}, {'topic': 'technology', 'relevance_score': '0.813349'}, {'topic': 'economy_macro', 'relevance_score': '0.608024'}]",0.380448,Bullish,"[{'ticker': 'GE', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.541733', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.709811', 'ticker_sentiment_score': '0.342519', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.614885', 'ticker_sentiment_score': '0.344155', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'F', 'relevance_score': '0.634197', 'ticker_sentiment_score': '0.347982', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GM', 'relevance_score': '0.649354', 'ticker_sentiment_score': '0.310761', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Meet Symphony, the Company That Tracks Netflix's Elusive Ratings",https://www.wired.com/2016/01/meet-symphony-the-company-that-tracks-netflixs-elusive-ratings/,20160115T192700,['Kevin McFarland'],"Symphony Advanced Media is a Palo Alto-based company that tracks viewership data for streaming services like Netflix and Amazon, which typically keep their numbers secret. Using an app with audio recognition technology, Symphony's VideoPulse service gathers data from a panel of 15,000 mobile device users to estimate program viewership. This provides an unofficial metric for content consumption on streaming platforms, addressing a frustration among TV executives regarding the lack of transparency in streaming viewership numbers.",,WIRED,General,WIRED,"[{'topic': 'technology', 'relevance_score': '0.809122'}]",0.03983,Neutral,"[{'ticker': 'NFLX', 'relevance_score': '0.982976', 'ticker_sentiment_score': '-0.128924', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.634377', 'ticker_sentiment_score': '0.116270', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CMCSA', 'relevance_score': '0.588140', 'ticker_sentiment_score': '0.099843', 'ticker_sentiment_label': 'Neutral'}]"
ING moving farther south on Sixth Avenue,https://www.crainsnewyork.com/article/20160119/BLOGS03/160119867/ing-moving-farther-south-on-sixth-avenue,20160118T230000,[],"ING Financial Holdings Corp. is relocating its office 10 blocks south on Sixth Avenue, signing a 10-year lease for 132,400 square feet at 1133 Sixth Avenue. The move will place the company in the same building as a new Steinway & Sons piano showroom. This new location was previously considered by Amazon, but Durst Organization has a pending fraud claim against the tech giant for backing out of that deal.",,Crain's New York Business,General,Crain's New York Business,"[{'topic': 'real_estate', 'relevance_score': '1.000000'}, {'topic': 'finance', 'relevance_score': '0.749580'}]",-0.170271,Somewhat-Bearish,"[{'ticker': 'CSGP', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.104851', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.711265', 'ticker_sentiment_score': '-0.400251', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'FOX', 'relevance_score': '0.616519', 'ticker_sentiment_score': '-0.116914', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NWS', 'relevance_score': '0.633624', 'ticker_sentiment_score': '-0.116073', 'ticker_sentiment_label': 'Neutral'}]"
Amazon Reveals New Details About Drone Deliveries,https://time.com/4185117/amazon-prime-air-drone-delivery/,20160119T125500,['Lisa Eadicicco'],"Amazon has revealed new details about its Prime Air drone delivery service, aiming for 30-minute deliveries for packages up to five pounds. The drones will be capable of traveling over 10 miles and are designed to avoid obstacles, akin to how a horse avoids a tree. While regulatory hurdles remain, Amazon envisions drone deliveries becoming as common as delivery trucks in the future, with features like noise dampening being addressed.",,Time Magazine,General,Time Magazine,"[{'topic': 'retail_wholesale', 'relevance_score': '0.937582'}, {'topic': 'technology', 'relevance_score': '0.822598'}, {'topic': 'energy_transportation', 'relevance_score': '0.725476'}]",0.200448,Somewhat-Bullish,"[{'ticker': 'AMZN', 'relevance_score': '0.966857', 'ticker_sentiment_score': '0.314703', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.614644', 'ticker_sentiment_score': '0.240277', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.618784', 'ticker_sentiment_score': '0.202367', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FDX', 'relevance_score': '0.557896', 'ticker_sentiment_score': '0.130978', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UPS', 'relevance_score': '0.586083', 'ticker_sentiment_score': '0.123334', 'ticker_sentiment_label': 'Neutral'}]"
