title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Jeff Kilburg,https://www.cnbc.com/jeff-kilburg/,20151002T135824,[],"Jeff Kilburg is the Founder, CEO, and CIO of KKM Financial, an asset management company in Chicago, IL. KKM Financial offers various services including outsourced CIO services, model portfolios, and market commentary globally. Kilburg also serves as a portfolio manager for the Essential 40 Stock ETF (ESN) and contributes market insights and options trading strategies to CNBC.",https://image.cnbcfm.com/api/v1/image/105475385-1538070775828jeffkilburg.jpg?v=1626809680&w=800&h=600&ffmt=webp,CNBC,General,CNBC,"[{'topic': 'financial_markets', 'relevance_score': '1.000000'}, {'topic': 'finance', 'relevance_score': '0.949176'}, {'topic': 'technology', 'relevance_score': '0.705154'}]",0.1402,Neutral,"[{'ticker': 'ESN', 'relevance_score': '0.919899', 'ticker_sentiment_score': '0.120394', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.705850', 'ticker_sentiment_score': '0.142954', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.600527', 'ticker_sentiment_score': '0.131989', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INTC', 'relevance_score': '0.612544', 'ticker_sentiment_score': '0.115509', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MU', 'relevance_score': '0.605244', 'ticker_sentiment_score': '0.113574', 'ticker_sentiment_label': 'Neutral'}]"
Walmart Canada makes online shopping easier,https://chainstoreage.com/news/walmart-canada-makes-online-shopping-easier,20151007T095142,[],"Walmart Canada has partnered with 7-Eleven Canada Inc. to expand its Grab & Go locker network in the greater Toronto area, allowing customers to pick up online orders for free 24/7. This initiative aims to make online shopping more convenient by leveraging 7-Eleven's presence in customers' daily routines. The partnership begins with a six-month pilot to evaluate customer response and usage.",,Chain Store Age,General,Chain Store Age,"[{'topic': 'retail_wholesale', 'relevance_score': '0.936443'}, {'topic': 'finance', 'relevance_score': '0.725739'}, {'topic': 'economy_macro', 'relevance_score': '0.627736'}]",0.264671,Somewhat-Bullish,"[{'ticker': 'WMT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.422531', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.739210', 'ticker_sentiment_score': '0.227037', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TGT', 'relevance_score': '0.606556', 'ticker_sentiment_score': '0.100095', 'ticker_sentiment_label': 'Neutral'}]"
"Vimeo steps up original content efforts with ‘The Outs,’ ‘Darby’ and ‘Rolodex’",https://www.latimes.com/entertainment/tv/showtracker/la-et-st-vimeo-programming-outs-high-maintenance-20151007-story.html,20151007T210000,['Steven Zeitchik'],"Vimeo is significantly increasing its original programming with a new slate of three shows: a second season of the gay comedy ""The Outs,"" a short film ""Darby Forever"" starring Aidy Bryant, and ""Rolodex of Hate Comedy Special"" with Bianca Del Rio. The company, a division of IAC, aims to attract creators with favorable revenue splits and audiences with unique, lower-budget content, building on the success of its earlier viral hit ""High Maintenance."" These new offerings will be available for a fee on Vimeo's on-demand platform.",,Los Angeles Times,General,Los Angeles Times,"[{'topic': 'technology', 'relevance_score': '0.823190'}]",0.02312,Neutral,"[{'ticker': 'VMEO', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.337113', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NFLX', 'relevance_score': '0.608440', 'ticker_sentiment_score': '-0.164550', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.621852', 'ticker_sentiment_score': '-0.126411', 'ticker_sentiment_label': 'Neutral'}]"
Netflix Raising US Price For Most Popular Video Plan By $1,https://www.cbsnews.com/sacramento/news/netflix-raising-us-price-for-most-popular-video-plan-by-1/,20151008T201700,[],"Netflix is increasing the price of its most popular internet video plan by $1 for new customers in the U.S., Canada, and some Latin American countries, raising it to $10 per month. This move is to help cover escalating costs for original programming and content acquisition, as the company faces increasing competition. Existing subscribers will be insulated from this price hike, a strategy implemented after a significant customer backlash from a previous price increase.",,CBS News,General,CBS News,"[{'topic': 'retail_wholesale', 'relevance_score': '0.649830'}, {'topic': 'technology', 'relevance_score': '0.944025'}, {'topic': 'financial_markets', 'relevance_score': '0.842234'}, {'topic': 'earnings', 'relevance_score': '0.747098'}]",0.162986,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '0.973980', 'ticker_sentiment_score': '0.335905', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.647125', 'ticker_sentiment_score': '0.112903', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CMCSA', 'relevance_score': '0.568583', 'ticker_sentiment_score': '0.099164', 'ticker_sentiment_label': 'Neutral'}]"
Cert. Sought in Amazon Background Check Class Action Lawsuit,https://topclassactions.com/lawsuit-settlements/lawsuit-news/cert-sought-amazon-background-check-class-action-lawsuit/,20151014T075655,['Christina Spicer'],"A class action lawsuit against Amazon and staffing company SMX, alleging violations of the Fair Credit Reporting Act (FCRA) for denying employment based on undisclosed background checks, is seeking class certification. The lead plaintiff, Gregory Williams, was denied employment at an Amazon warehouse due to an incorrect, undisclosed background check and his attorneys are pursuing certification for two nationwide classes to prevent individual settlement offers from derailing the case. Hundreds of thousands of applicants could be affected due to SMX's standardized procedures and Amazon's high volume hiring, especially during holidays.",,Class Action Lawsuits,General,Class Action Lawsuits,"[{'topic': 'retail_wholesale', 'relevance_score': '0.849408'}, {'topic': 'finance', 'relevance_score': '0.703665'}]",-0.307096,Somewhat-Bearish,"[{'ticker': 'AMZN', 'relevance_score': '0.946547', 'ticker_sentiment_score': '-0.342806', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
"Four Ohio CEOs rank among the world's 100 best-performing CEOs, Harvard Business Review says",https://www.cleveland.com/business/2015/10/four_ohio_ceos_rank_among_the_worlds_100_best-performing_ceos_harvard_business_review_says.html,20151014T100600,['Janet H. Cho'],"Four Ohio CEOs, including Leslie Wexner of L Brands and Chris Connor of Sherwin-Williams, have been named among the world's 100 best-performing CEOs by Harvard Business Review. The ranking considers both financial performance and environmental, social, and governance (ESG) factors. This marks a shift from previous rankings that solely focused on stock market numbers, allowing for a more comprehensive evaluation of leadership.",,Cleveland.com,General,Cleveland.com,"[{'topic': 'retail_wholesale', 'relevance_score': '0.843390'}, {'topic': 'finance', 'relevance_score': '0.726852'}, {'topic': 'life_sciences', 'relevance_score': '0.610629'}, {'topic': 'manufacturing', 'relevance_score': '0.649697'}, {'topic': 'economy_macro', 'relevance_score': '0.602542'}]",0.224202,Somewhat-Bullish,"[{'ticker': 'SHW', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.419401', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'ETN', 'relevance_score': '0.941441', 'ticker_sentiment_score': '0.336272', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.607452', 'ticker_sentiment_score': '-0.124351', 'ticker_sentiment_label': 'Neutral'}]"
Workhorse drone company tests package deliveries in Ohio,https://www.usatoday.com/story/news/2015/10/15/workhorse-drone-company-tests-package-deliveries-ohio/73978646/,20151015T095136,['Bart Jansen'],"Workhorse Group Inc. and the University of Cincinnati are testing drone package deliveries in Ohio using a drone named HorseFly that launches from electric delivery trucks. The Federal Aviation Administration granted a two-year certificate for testing at the Wilmington Air Park, with flights expected to begin within weeks. This initiative aims to reduce delivery costs and emissions, contrasting with other companies exploring long-range deliveries.",,USA Today,General,USA Today,"[{'topic': 'technology', 'relevance_score': '0.839103'}, {'topic': 'energy_transportation', 'relevance_score': '0.719795'}]",0.208912,Somewhat-Bullish,"[{'ticker': 'WKHS', 'relevance_score': '0.992337', 'ticker_sentiment_score': '0.419799', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.691544', 'ticker_sentiment_score': '0.117737', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.612661', 'ticker_sentiment_score': '0.117281', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UPS', 'relevance_score': '0.592018', 'ticker_sentiment_score': '0.209733', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Walmart US CEO: one-third of stores get a failing grade. Ouch.,https://fortune.com/2015/10/16/walmart-amazon-stores/,20151016T095143,['Phil Wahba'],"Walmart CEO Doug McMillon is defending the company's brick-and-mortar stores as a weapon against Amazon, despite a recent stock dive and sales/profit warnings. The company plans to invest billions into e-commerce to better integrate it with its physical stores. However, the CEO of Walmart U.S. stated that only two-thirds of the stores are currently passing grades for cleanliness and service, indicating a significant need for improvement before the stores can truly be an advantage.",,Fortune,General,Fortune,"[{'topic': 'retail_wholesale', 'relevance_score': '1.000000'}, {'topic': 'earnings', 'relevance_score': '0.806956'}]",0.032532,Neutral,"[{'ticker': 'WMT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.046081', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.877348', 'ticker_sentiment_score': '0.068762', 'ticker_sentiment_label': 'Neutral'}]"
Wal-Mart puts the squeeze on suppliers to share its pain as earnings sag,https://www.reuters.com/article/world/wal-mart-puts-the-squeeze-on-suppliers-to-share-its-pain-as-earnings-sag-idUSKCN0SD0CY/,20151019T051800,['Nathan Layne'],"Wal-Mart is intensifying pressure on its suppliers for price cuts and cost sharing after a shock earnings warning, as the retailer faces rising labor costs, store improvement expenses, and investments in online sales. Suppliers are bracing for increased demands, including new fees and extended payment terms, to help Wal-Mart offset its declining profits and maintain competitive pricing against rivals like Amazon.com Inc. Despite initial resistance, most suppliers are expected to comply due to Wal-Mart's significant market power, though some express concerns about a ""slippery slope"" of continuous demands.",,Reuters,General,Reuters,"[{'topic': 'earnings', 'relevance_score': '0.942014'}, {'topic': 'retail_wholesale', 'relevance_score': '0.810033'}]",-0.264929,Somewhat-Bearish,"[{'ticker': 'WMT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.407268', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.605456', 'ticker_sentiment_score': '-0.110647', 'ticker_sentiment_label': 'Neutral'}]"
GM Just Delivered Some Great News for Detroit,https://fortune.com/2015/10/22/gm-detroit-double-workforce/,20151022T083715,['Michal Addady'],"General Motors announced it will nearly double the workforce at its Detroit-Hamtramck Assembly plant by early next year, adding over 1,200 new jobs. This expansion is to meet the forecasted demand for five cars produced at the plant and will increase the total jobs to around 2,800. This news follows a recent similar announcement from Amazon regarding its Detroit operations.",,Fortune,General,Fortune,"[{'topic': 'manufacturing', 'relevance_score': '1.000000'}, {'topic': 'economy_macro', 'relevance_score': '0.816886'}, {'topic': 'energy_transportation', 'relevance_score': '0.707492'}]",0.369318,Bullish,"[{'ticker': 'GM', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.445906', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.613231', 'ticker_sentiment_score': '0.302941', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
