title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Jefferies Cuts Iron Mountain Estimates And 'Shreds' Valuation,https://finance.yahoo.com/news/jefferies-cuts-iron-mountain-estimates-175149333.html,20150603T085130,['Bill Stoller'],"Jefferies analyst Dan Dolev downgraded Iron Mountain Inc (NYSE: IRM) to ""Underperform"" and lowered its target price due to concerns about rack depreciation, the impact of falling cloud storage costs, and potentially negative capital expenditure returns. Despite a pending acquisition and REIT conversion, Jefferies projects significant downside risk and believes Iron Mountain's dividend may be at risk without equity issuance or debt. The report highlights the challenges facing the company amidst secular declines in paper usage and increased competition from cloud storage.",,Yahoo Finance,General,Yahoo Finance,"[{'topic': 'earnings', 'relevance_score': '0.841444'}, {'topic': 'financial_markets', 'relevance_score': '0.923982'}, {'topic': 'real_estate', 'relevance_score': '0.740901'}, {'topic': 'mergers_and_acquisitions', 'relevance_score': '0.635621'}]",-0.288204,Somewhat-Bearish,"[{'ticker': 'IRM', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.427223', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.742852', 'ticker_sentiment_score': '-0.144623', 'ticker_sentiment_label': 'Neutral'}]"
Walmart U.S. boss admits half of all stores could look better,https://fortune.com/2015/06/04/walmart-stores-remodeling/,20150604T095140,['Phil Wahba'],"Walmart U.S. CEO Greg Foran acknowledges that about half of the company's 4,500 stores need improvement in their appearance and cleanliness. To address this, Walmart is investing heavily in remodeling existing stores, raising worker pay, and implementing strategies like the 10-foot-rule and expanding smaller-format Neighborhood Market grocery stores. The goal is to improve customer service, store appeal, and adapt to changing shopping habits, including leveraging stores as e-commerce distribution centers.",,Fortune,General,Fortune,"[{'topic': 'retail_wholesale', 'relevance_score': '0.930381'}]",0.16558,Somewhat-Bullish,"[{'ticker': 'WMT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.251955', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.636328', 'ticker_sentiment_score': '0.003466', 'ticker_sentiment_label': 'Neutral'}]"
Assurant’s Colberg on Innovation,https://www.carriermanagement.com/features/2015/06/08/138814.htm,20150608T075646,[],"Alan B. Colberg, President and CEO of Assurant, discusses innovation within the P/C insurance industry in this interview. He highlights the impact of telemetrics, external innovators like Apple and Amazon, and Assurant's internal strategies for fostering innovation, including leadership development programs and a strategy learning game. Colberg emphasizes the importance of adaptive leadership, an enterprise mindset, and a willingness to embrace failure to drive innovation.",,Carrier Management,General,Carrier Management,"[{'topic': 'finance', 'relevance_score': '0.900764'}, {'topic': 'technology', 'relevance_score': '0.842940'}]",0.328573,Somewhat-Bullish,"[{'ticker': 'AIZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.400292', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'PGR', 'relevance_score': '0.640207', 'ticker_sentiment_score': '0.248513', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.712208', 'ticker_sentiment_score': '0.318494', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.735762', 'ticker_sentiment_score': '0.314948', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.607693', 'ticker_sentiment_score': '0.211649', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Where Wal-Mart, Costco, Kroger and Others Stack Up in the Fortune 500 of 2015",https://www.andnowuknow.com/buyside-news/where-wal-mart-costco-kroger-and-others-stack-fortune-500-2015/jordan-okumura/45796,20150609T085648,['Jordan Okumura-Wright'],"This article details the rankings of major retailers and other companies in the 2015 Fortune 500 list, highlighting their revenues, profits, and changes in ranking from the previous year. Wal-Mart maintained its top position, while Costco and Kroger showed significant revenue and profit figures. Other notable companies like Amazon and Target also had their positions and financial performance discussed within the context of the overall Fortune 500.",,AndNowUKnow,General,AndNowUKnow,"[{'topic': 'earnings', 'relevance_score': '0.904633'}, {'topic': 'retail_wholesale', 'relevance_score': '0.832870'}, {'topic': 'financial_markets', 'relevance_score': '0.637290'}, {'topic': 'economy_macro', 'relevance_score': '0.639960'}]",0.296056,Somewhat-Bullish,"[{'ticker': 'KR', 'relevance_score': '0.916453', 'ticker_sentiment_score': '0.307081', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.849833', 'ticker_sentiment_score': '0.399962', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'COST', 'relevance_score': '0.725062', 'ticker_sentiment_score': '0.325454', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.690080', 'ticker_sentiment_score': '0.318040', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TGT', 'relevance_score': '0.643724', 'ticker_sentiment_score': '0.142684', 'ticker_sentiment_label': 'Neutral'}]"
What General Electric Seeks In MBA Hires,https://poetsandquants.com/2015/06/17/what-general-electric-seeks-in-mba-hires/,20150617T083653,['Jeff Schmitt'],"General Electric is seeking MBA hires who possess leadership, a passion to drive change, and learning agility. The company values candidates with a technical undergraduate degree combined with an MBA, especially those with prior entrepreneurial experience. GE emphasizes a culture of speed and simplicity, looking for talent with a ""startup style"" mindset who can navigate a large organization and possess analytical skills for HR roles.",,Poets&Quants,General,Poets&Quants,"[{'topic': 'manufacturing', 'relevance_score': '0.840803'}, {'topic': 'finance', 'relevance_score': '0.706674'}, {'topic': 'technology', 'relevance_score': '0.627547'}]",0.280323,Somewhat-Bullish,"[{'ticker': 'GE', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.100623', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.603006', 'ticker_sentiment_score': '0.301623', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.601871', 'ticker_sentiment_score': '0.303716', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Oracle eyes new competition as it pushes into the cloud,https://fortune.com/2015/06/22/oracle-competition-cloud/,20150622T091227,['Jonathan Vanian'],"Oracle is shifting its competitive focus from traditional tech giants like IBM to cloud-based rivals such as Amazon, Google, Microsoft, Salesforce (CRM), and Workday. Founder Larry Ellison unveiled over 24 new cloud products, emphasizing Oracle's comprehensive offerings compared to competitors. The company faces the challenge of establishing itself in a cloud market already dominated by long-standing players.",,Fortune,General,Fortune,"[{'topic': 'technology', 'relevance_score': '0.912247'}]",0.106163,Neutral,"[{'ticker': 'ORCL', 'relevance_score': '0.955178', 'ticker_sentiment_score': '0.104912', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.755248', 'ticker_sentiment_score': '0.002931', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.653142', 'ticker_sentiment_score': '0.134137', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRM', 'relevance_score': '0.618719', 'ticker_sentiment_score': '0.199369', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.566563', 'ticker_sentiment_score': '-0.055380', 'ticker_sentiment_label': 'Neutral'}]"
"Amazon, Etsy to Ban Confederate Flag Merchandise, Joining Walmart, eBay",https://abcnews.go.com/Business/amazon-etsy-ban-confederate-flag-merchandise-joining-walmart/story?id=31972541,20150623T160300,['ABC News'],"Amazon and Etsy announced their decision to ban the sale of Confederate flag merchandise, following similar actions by Walmart, Sears, and eBay. This move comes amid a surge in popularity for these products, with retailers acting in response to growing controversy. While major online retailers are banning the flag, some businesses, like FlagandBanner.com, plan to continue selling it as long as it remains legal, citing a stance of representing all Americans and not judging customers.",,ABC News,General,ABC News,"[{'topic': 'retail_wholesale', 'relevance_score': '0.928231'}, {'topic': 'finance', 'relevance_score': '0.711976'}]",0.14897,Neutral,"[{'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.108848', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'EBAY', 'relevance_score': '0.958534', 'ticker_sentiment_score': '0.137972', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.905133', 'ticker_sentiment_score': '0.106154', 'ticker_sentiment_label': 'Neutral'}]"
"Amazon Will Halt Confederate Flag Sales, Following EBay",https://www.bloomberg.com/news/articles/2015-06-23/amazon-is-said-to-halt-confederate-flag-sales-following-ebay,20150623T194700,['Spencer Soper and Thomas Black'],"Amazon announced it would cease selling Confederate flags and related merchandise from its online store. This decision follows similar actions by other major retailers like Wal-Mart, EBay, and Sears, amidst growing pressure and controversy surrounding the flag's symbolism, particularly after its association with the Charleston church shooting. Alibaba also followed suit shortly after.",,Bloomberg.com,General,Bloomberg.com,"[{'topic': 'retail_wholesale', 'relevance_score': '0.801068'}, {'topic': 'technology', 'relevance_score': '0.608264'}]",0.124706,Neutral,"[{'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.104646', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'EBAY', 'relevance_score': '0.720938', 'ticker_sentiment_score': '0.141395', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.633116', 'ticker_sentiment_score': '0.131993', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BBY', 'relevance_score': '0.639044', 'ticker_sentiment_score': '0.134138', 'ticker_sentiment_label': 'Neutral'}]"
"Amazon, Google join retailers in banning Confederate flag",https://www.reuters.com/article/world/amazon-google-join-retailers-in-banning-confederate-flag-idUSKBN0P31ZJ/,20150624T065100,['Mari Saito'],"Amazon.com Inc, Google Inc, and eBay Inc joined brick-and-mortar retailers like Wal-Mart and Sears in banning sales of Confederate flag merchandise from their online platforms. This move followed a racially motivated mass shooting at a historic black church in South Carolina, which sparked renewed calls for the flag's removal due to its association with hate and divisiveness. Other retailers and manufacturers, including Etsy and Valley Forge Flag, also announced similar bans, signaling a broader corporate stance against the symbol.",,Reuters,General,Reuters,"[{'topic': 'retail_wholesale', 'relevance_score': '0.939246'}, {'topic': 'technology', 'relevance_score': '0.841619'}]",0.100913,Neutral,"[{'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.135851', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'EBAY', 'relevance_score': '0.824123', 'ticker_sentiment_score': '0.131012', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.735795', 'ticker_sentiment_score': '0.149706', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.629839', 'ticker_sentiment_score': '0.131772', 'ticker_sentiment_label': 'Neutral'}]"
"From megawatts to megabytes, coal-fired TVA power plant gets a makeover",https://www.eenews.net/articles/from-megawatts-to-megabytes-coal-fired-tva-power-plant-gets-a-makeover/,20150625T081900,['Daniel Cusick'],"A former coal-fired power plant in north Alabama owned by the Tennessee Valley Authority (TVA) is being redeveloped into a data center for Google Inc. This transformation of the Widows Creek Fossil Plant signifies a shift from traditional energy production to powering internet services. The $600 million project, expected to begin construction in early 2016, will also involve TVA partnering with Google to secure clean energy resources, creating 100 new jobs and symbolizing a move towards a green energy economy.",,E&E News by POLITICO,General,E&E News by POLITICO,"[{'topic': 'energy_transportation', 'relevance_score': '1.000000'}, {'topic': 'technology', 'relevance_score': '0.826246'}]",0.234758,Somewhat-Bullish,"[{'ticker': 'TVC', 'relevance_score': '0.342853', 'ticker_sentiment_score': '0.022966', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.954980', 'ticker_sentiment_score': '0.430868', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.902669', 'ticker_sentiment_score': '0.393477', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.708445', 'ticker_sentiment_score': '0.149340', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.694384', 'ticker_sentiment_score': '0.120018', 'ticker_sentiment_label': 'Neutral'}]"
